"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"15",1964,-7.48623815774861,12.108376716325,1.40066893998214,296.777988253458,81.1691093294508,6.93088488915083e-05,95543.11603478,204.819640161277,395.094189211283,1.82956946112751,301.181051945728,293.578105518989
"16",1965,-24.2734647766042,19.4217215317229,5.53937390334131,296.751782138377,81.3695734219459,6.96568571927616e-05,95555.2606447023,203.800942225548,395.195584606164,1.83384772169611,301.127022030057,293.567156616318
"17",1966,29.7525670666753,-1.55479229253666,12.6033020570757,296.991727705386,81.7405623780032,7.27153314427556e-05,95534.6644678333,203.039971189616,397.483204181892,1.78730170540968,301.329749580023,293.850056222358
"18",1967,-55.6204899385771,16.983329180995,-12.0422149025152,296.520218336436,81.6922297168738,7.05474615200097e-05,95565.0507316523,203.445011796968,394.088154219913,1.8565124105238,300.877620783871,293.354787582691
"19",1968,-7.73155369054363,-5.02801721172455,2.66668163857681,296.743739179888,81.2235882378293,6.84196544422049e-05,95584.0362593723,207.565107285454,394.78447726061,1.80093052200386,301.191279396284,293.503021694524
"20",1969,58.005631933042,-4.43551061726095,-0.637876611588878,297.199398555188,81.2854940377685,7.05784228010723e-05,95526.3310375848,205.088922149872,398.141597794568,1.78890539316914,301.61019449852,293.999196254643
"21",1970,26.4673272973563,-5.07991244151656,-3.11157487705474,296.971747176242,81.645717551537,7.23359590043578e-05,95530.7611919877,204.363188848813,397.296362708204,1.80458474250579,301.350040936846,293.803183320107
"22",1971,-40.9770155436442,-6.52092149834809,-14.2983681038186,296.561847426219,81.8527915164593,7.21172875132934e-05,95543.6703494418,203.22570167782,394.798834217826,1.80436576096481,300.896476545184,293.415637281855
"23",1972,-12.7899097433463,0.47559312477683,4.48753426687514,296.832875761176,81.5282320241377,6.98272710811781e-05,95530.1829900257,205.179690188994,395.905092810582,1.82502487766346,301.217969597117,293.646159063496
"24",1973,26.481635362714,-22.1661844703912,5.12337440234709,296.946319673608,81.2413768116939,7.14298319695256e-05,95579.3519165253,205.434103947387,396.469284872666,1.77941734178054,301.352504990773,293.756460119672
"25",1974,-64.3636740823729,-10.4735976327305,-7.27101501911581,296.443082231565,81.4865055151036,7.02325154451111e-05,95547.2258441878,205.568085428295,393.34518832793,1.80155039981869,300.828343005606,293.257061959983
"26",1975,-52.3673331265759,-9.96045450904064,19.9988354059813,296.510651276116,81.5858697390181,7.07016635217007e-05,95556.9736054482,203.548235343759,394.130756077541,1.77787811667928,300.888421601464,293.33641664201
"27",1976,-65.2374385570205,11.0086630305636,2.76052245317957,296.547497791083,81.7113104968898,6.93814084011898e-05,95565.3011130418,204.688169275608,394.128941784807,1.84039293858508,300.916070166486,293.38018038561
"28",1977,-29.7588028604214,13.2023760632368,3.44565413488078,296.798246326881,81.5023532723796,7.06792729587162e-05,95570.0830557,205.259248663373,395.748842590118,1.8501913946533,301.161347437657,293.629009721158
"29",1978,-9.46533519093095,10.1018165413685,4.98388916853432,296.858555167444,81.7962023088686,7.17548507788482e-05,95565.8630554947,203.504822893026,396.739529384206,1.81335195392736,301.202915251777,293.714348280284
"30",1979,37.9903762282288,-5.23355258502776,1.27506950344076,297.102765953478,81.0916816808296,6.97719044009117e-05,95580.8675192918,208.176508474266,397.648941447564,1.80430914936571,301.634575812078,293.834440976225
"31",1980,39.6918712419575,12.0143208115973,4.70086088333764,297.1683174307,80.758077639832,6.72448259543768e-05,95592.9990354094,209.51597075454,397.516242239396,1.83045158502621,301.665404672172,293.886872967989
"32",1981,18.4687220524474,-3.8892347568525,-16.0784152687222,297.024971422506,81.2240794936746,7.08208628373773e-05,95578.2210212347,206.896061995819,397.23191411942,1.80683016894473,301.497278430625,293.786066673265
"33",1982,3.21279185541723,23.4490736468139,1.11514065401454,296.981189133198,81.3518522165703,6.75987266163185e-05,95597.3032867913,205.459871335539,396.854541678353,1.80915366473319,301.425063579179,293.75842931851
"34",1983,75.0849041722784,31.1724402152691,-13.7090752495214,297.434423884243,80.6097181331882,6.69171067185518e-05,95601.4285074157,208.85885445082,398.919511531155,1.82772328570198,301.952625361508,294.161056612085
"35",1984,-23.220593334433,-24.5031183698106,-5.03261680718441,296.785375177547,81.7830422438172,7.40773252482613e-05,95541.6485281442,204.147167442976,396.130083822327,1.7679341915349,301.238213627643,293.580052751585
"36",1985,-39.5539434955518,-8.57514206803743,15.4620466684702,296.746399166288,81.5952600781429,7.15738663516492e-05,95558.938403021,205.378094273983,395.87438912066,1.81676866012363,301.177525455188,293.536036155687
"37",1986,-46.0562668025156,2.47482610920044,8.378529565976,296.811832407936,81.6991113213441,7.45700742136249e-05,95596.5335400476,202.934312770329,396.716479032553,1.83566913384481,301.176700999566,293.625879571651
"38",1987,67.4576930764589,-7.08749999006307,-4.43059778068256,297.473033377252,80.8533044412549,6.9538448831873e-05,95590.3006512697,208.431735812052,399.944168431538,1.82308708522762,301.905797594274,294.223477512233
"39",1988,25.6147685878478,-15.0121631515762,-2.97029159775496,297.208916659113,81.2475478853737,7.51389190908571e-05,95574.0842819615,204.529709333296,399.085464637877,1.81940113039338,301.574257364624,294.026940233862
