index,region,cluster,pc,cor
pdo,Northern America ,2,1,0.2500240554203
npgo,Northern America ,2,1,0.243689297442487
npo,Northern America ,2,1,0.359916964420895
oni,Northern America ,2,2,0.241624282078976
iod,Northern America ,2,2,0.30750147156783
npgo,Northern America ,2,2,0.272833040215492
oni,Northern America ,2,3,0.27151841921213
iod,Northern America ,2,3,0.263298973608878
oni,Northern America ,3,1,cor04
pdo,Northern America ,3,1,0.378547732578681
iod,Northern America ,3,1,0.326965811630168
npgo,Northern America ,3,1,0.261267749653601
npo,Northern America ,3,1,0.296862495192854
oni,Northern America ,3,3,0.296017080203224
nao,Northern America ,3,3,0.278948865796746
pdo,Northern America ,3,3,cor04
npgo,Northern America ,3,3,cor04
oni,Northern America ,4,1,0.354521483588998
nao,Northern America ,4,1,cor04
pdo,Northern America ,4,1,0.357271682001018
npgo,Northern America ,4,1,0.292009545931145
oni,Northern America ,4,2,0.270438296719277
nao,Northern America ,4,2,0.346071325786032
iod,Northern America ,4,2,0.263830162234151
npo,Northern America ,4,2,0.262343998698639
oni,Northern America ,4,3,0.247530743275538
nao,Northern America ,4,3,0.302501178726974
pdo,Northern America ,4,3,0.249048222752133
npgo,Northern America ,4,3,0.317773910609533
npo,Northern America ,4,3,0.231100566094852
oni,Northern America ,5,1,0.24758087425133
nao,Northern America ,5,1,0.317216202268268
iod,Northern America ,5,1,0.239797233347169
npgo,Northern America ,5,1,0.358560151859485
npo,Northern America ,5,1,0.346423508910061
npo,Northern America ,5,2,0.242920069113495
oni,Northern America ,5,3,0.286769661527298
pdo,Northern America ,5,3,0.252459864477815
iod,Northern America ,5,3,0.286153525538412
npgo,Northern America ,5,3,0.278144150744779
iod,Northern America ,6,1,0.274032975423246
nao,Northern America ,6,2,0.286785016610842
npo,Northern America ,6,2,0.295534905447729
oni,Northern America ,6,3,0.330236108053402
nao,Northern America ,6,3,0.35869219413154
npgo,Northern America ,6,3,0.282586874818691
npo,Northern America ,6,3,0.357060256145972
oni,Northern America ,7,1,0.341888875038247
nao,Northern America ,7,1,cor04
pdo,Northern America ,7,1,0.291656234061933
iod,Northern America ,7,1,0.274985617988198
npgo,Northern America ,7,1,cor04
nao,Northern America ,7,2,0.36169072051127
npgo,Northern America ,7,2,0.302913582750334
npo,Northern America ,7,2,0.283236997745732
iod,Northern America ,7,3,0.23589800030975
