"","cluster","pc_variance_sum","slope_mean","intercept_mean","direction","index","climate_zone","cluster_reorder"
"122",23,0.66356,1.60322892934385,-4.41724554071051,"positive","pdo","tropical-dry-temperate",4
"123",24,0.60221,16.5124721670181,-7.27010849805595,"positive","enso","tropical-dry",2
"124",24,0.60221,3.00652487899418,0.380743837668706,"negative","enso","tropical-dry",2
"125",24,0.60221,34.4938385529652,7.40223132784194,"negative","iod","tropical-dry",2
"126",24,0.60221,12.7248366585249,4.65874120244634,"negative","nao","tropical-dry",2
"127",24,0.60221,-3.91651913209922,-0.135299331385584,"positive","nao","tropical-dry",2
"128",24,0.60221,20.5463242726392,-4.81566309760471,"positive","iod","tropical-dry",2
"129",25,0.14838,2.61418909590519,0.884187515056088,"negative","pdo","tropical-dry",3
"130",25,0.58007,-16.1131589517137,-0.711599545418902,"negative","nao","tropical-dry",3
"131",25,0.14838,5.82468495148277,-2.86030822422819,"positive","enso","tropical-dry",3
"132",25,0.14838,6.23619904119783,3.10214152938484,"negative","enso","tropical-dry",3
"133",25,0.58007,-22.6236182437072,2.7082155902871,"positive","nao","tropical-dry",3
"134",25,0.14838,4.51413641542535,0.203584404842452,"positive","pdo","tropical-dry",3
"135",26,0.51908,0.775855184635459,-0.289737896592707,"negative","nao","dry-temperate",13
"136",26,0.51908,-0.237672592597002,0.542774593633981,"negative","pdo","dry-temperate",13
"137",26,0.51908,-11.0274806837881,4.06012741245596,"positive","nao","dry-temperate",13
"138",26,0.51908,12.4397023017039,-8.95840869450684,"positive","pdo","dry-temperate",13
"139",27,0.39389,-3.70265630440782,-0.913484275054385,"positive","enso","tropical-dry-temperate",5
"140",27,0.39389,-18.6183744035938,-6.60171233974591,"negative","enso","tropical-dry-temperate",5
"141",27,0.39389,7.51254997445828,4.87861827650336,"positive","nao","tropical-dry-temperate",5
"142",27,0.50882,8.66547448440067,-4.69081144563174,"positive","pdo","tropical-dry-temperate",5
"143",27,0.50882,-2.45077099688313,-2.30296547506514,"negative","pdo","tropical-dry-temperate",5
"144",27,0.39389,12.0932319744063,-2.79663136977384,"negative","nao","tropical-dry-temperate",5
"145",28,0.10039,2.70352523560252,-1.78700451085437,"positive","pdo","temperate-continental",27
"146",28,0.10039,-0.260068825508241,-0.135288655796261,"negative","pdo","temperate-continental",27
"147",28,0.62578,-4.54955191783443,0.944824820373347,"negative","nao","temperate-continental",27
"148",28,0.62578,-7.55958019970928,-0.221168256205844,"positive","nao","temperate-continental",27
"149",29,0.46375,-2.21037231642997,-6.15325042795873,"negative","pdo","dry-temperate-continental",16
"150",29,0.57443,-6.52667599509906,2.28413076915679,"negative","nao","dry-temperate-continental",16
"151",29,0.46375,18.1329281769839,-1.65861111871916,"positive","pdo","dry-temperate-continental",16
"152",29,0.11068,-11.5402586833235,3.69501237368104,"positive","enso","dry-temperate-continental",16
"153",29,0.57443,-11.4487798489497,-1.22504723235021,"positive","nao","dry-temperate-continental",16
"154",29,0.11068,0.934437026653058,2.75631599846803,"negative","enso","dry-temperate-continental",16
"155",30,0.3929,4.29199360750549,6.07019821477545,"positive","pdo","continental",33
"156",30,0.10789,1.30423511096668,0.223986162898844,"positive","nao","continental",33
"157",30,0.10789,-11.1127651380687,-3.59541681720944,"negative","nao","continental",33
"158",30,0.3929,2.89203473622846,-1.57022074864477,"negative","pdo","continental",33
"159",31,0.61708,-7.21385837744211,-1.69301850878098,"negative","iod","tropical-dry-temperate",6
"160",31,0.61708,8.17708251534155,-1.35716580832609,"positive","iod","tropical-dry-temperate",6
"161",31,0.46631,-1.07722352430982,4.33579498608405,"negative","enso","tropical-dry-temperate",6
"162",31,0.46631,-11.4230898684006,1.16532756392585,"positive","enso","tropical-dry-temperate",6
"163",31,0.15077,0.744270046164483,1.10363852739613,"negative","pdo","tropical-dry-temperate",6
"164",31,0.15077,-6.41560619247512,2.80491561799873,"positive","pdo","tropical-dry-temperate",6
"165",32,0.44995,2.83331762517439,-5.14266865181656,"positive","nao","dry-temperate-continental",17
"166",32,0.12574,-0.543721413932572,-2.35094897543551,"negative","enso","dry-temperate-continental",17
"167",32,0.44995,-31.6393996856368,-5.1115066680725,"negative","nao","dry-temperate-continental",17
"168",32,0.12574,5.74957355243621,-0.954004915918284,"positive","enso","dry-temperate-continental",17
"169",33,0.10196,8.87627358121855,4.2143632962485,"negative","nao","dry-continental",21
"170",33,0.62434,7.7530185184984,1.88873502857845,"negative","enso","dry-continental",21
"171",33,0.10196,11.603790265636,2.49818159538389,"negative","iod","dry-continental",21
"172",33,0.10196,-7.96601636320069,0.4103519673252,"positive","nao","dry-continental",21
"173",33,0.10196,-2.23344176546116,0.24326392326517,"positive","iod","dry-continental",21
"174",33,0.62434,5.69352375855832,-0.909948183323565,"positive","enso","dry-continental",21
"175",33,0.62434,8.0490858923439,0.417429794181754,"positive","pdo","dry-continental",21
"176",33,0.62434,0.409941067706286,-2.08360338751095,"negative","pdo","dry-continental",21
"177",34,0.58109,-1.97000195362843,-3.57804149676014,"negative","enso","continental",34
"178",34,0.14698,5.27179141888768,-4.81699696593051,"positive","pdo","continental",34
"179",34,0.14698,7.48008683343431,0.213906075133618,"positive","iod","continental",34
"180",34,0.43411,-30.2195201684804,-10.2817015499076,"negative","nao","continental",34
"181",34,0.14698,7.90677624187393,0.271185991726375,"negative","iod","continental",34
"182",34,0.58109,1.40449914133192,1.71681613949674,"positive","enso","continental",34
"183",34,0.14698,-2.63390608737642,-1.45665191244122,"negative","pdo","continental",34
"184",34,0.43411,-10.0903719651707,5.49066017524562,"positive","nao","continental",34
"185",35,0.49109,-6.83272085788192,10.160472887292,"positive","enso","tropical-dry-temperate",7
"186",35,0.49109,9.08514827120962,-2.41951604950872,"negative","enso","tropical-dry-temperate",7
"187",37,0.65822,-23.1961054408251,-1.77814187972325,"positive","iod","continental",35
"188",37,0.65822,-18.6641536561437,-3.23507156912007,"negative","nao","continental",35
