index,region,cluster,pc,cor
npgo,Europe,28,2,0.317217449457312
npo,Oceania,28,2,0.327154759708623
oni,Africa,28,3,0.243535921564137
nao,Americas,28,3,0.284629878247461
oni,Antarctica,29,1,cor04
pdo,Asia,29,1,0.298718871304153
iod,Europe,29,1,0.252646446220028
npo,Oceania,29,1,0.255696782276615
oni,Africa,29,2,0.399560994978786
pdo,Americas,29,2,0.327538026721586
oni,Antarctica,29,3,0.275941583029849
nao,Asia,29,3,0.245309920894195
oni,Europe,30,1,0.374008603376259
nao,Oceania,30,1,0.257596105315102
iod,Africa,30,1,0.258848077460818
npgo,Americas,30,1,0.283520079158263
npo,Antarctica,30,1,0.290427232646489
nao,Asia,30,2,0.260861445105248
pdo,Europe,30,2,0.260135090331095
iod,Oceania,30,2,0.325939022716669
oni,Africa,30,3,0.272740095108102
nao,Americas,30,3,0.269284414433968
pdo,Antarctica,30,3,0.37294242819309
iod,Asia,30,3,0.326029097216073
npgo,Europe,30,3,0.278469894171057
nao,Oceania,31,1,0.32794703518359
npo,Africa,31,1,0.308969620157901
oni,Americas,31,2,0.265100546899253
pdo,Antarctica,31,2,0.333898780110188
npo,Asia,31,2,0.292721272121292
npgo,Europe,31,3,0.245940339875163
npo,Oceania,31,3,0.247259644931448
nao,Africa,32,1,0.301067810593986
pdo,Americas,32,1,0.311110031760432
npo,Antarctica,32,1,0.244330552972272
iod,Asia,32,2,0.242568148390656
nao,Europe,32,3,cor04
npgo,Oceania,32,3,0.284049507421652
oni,Africa,33,1,0.341529335600788
nao,Americas,33,1,0.348440554040115
pdo,Antarctica,33,1,0.368089000181089
iod,Asia,33,1,0.241757744736397
npo,Europe,33,1,0.255830934013007
pdo,Oceania,33,2,0.283326920450434
iod,Africa,33,2,0.267375668750298
npgo,Americas,33,2,0.234237327031177
oni,Antarctica,33,3,cor04
pdo,Asia,33,3,cor04
iod,Europe,33,3,0.366034289211493
npo,Oceania,33,3,0.324419715573743
nao,Africa,34,1,0.322290511663622
nao,Americas,34,2,0.257850543678156
pdo,Antarctica,34,2,0.26484666187593
npgo,Asia,34,2,0.334634267013696
npo,Europe,34,3,0.237527907942151
nao,Oceania,35,1,0.326125775041511
pdo,Africa,35,1,0.242233202241716
oni,Americas,35,2,0.325162088330287
pdo,Antarctica,35,2,0.353076407779571
npgo,Asia,35,2,0.238515921467352
