"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"32",1981,-18.2007566987527,-14.4080991889927,4.27636339680892,271.139207752724,66.3414436066632,1.63975371892795e-05,88670.1256936659,156.853065880746,245.251542862007,2.72822547739397,276.480811450086,265.436630810109
"33",1982,-11.7309910727922,-19.9833147208709,-9.9143399498362,271.675472187675,65.9879148406298,1.68586441332326e-05,88592.249257287,156.363814062281,246.910649567335,2.81115091894774,276.999894981213,265.94705939186
"34",1983,29.3402316150834,5.19879880904558,2.62319218657759,271.727497596912,67.1695259949552,1.77163924912862e-05,88608.0618063341,154.216551270079,247.212047012398,2.77362243808438,276.943184945829,266.18132556864
"35",1984,37.7449587889404,4.40083678920871,4.61347391661036,269.750287686335,67.642618290512,1.85363037555786e-05,88558.5736406951,153.626445164702,241.843185506915,2.75474281792149,274.961688369272,264.109572118922
"36",1985,2.09079586798102,4.64354296361304,5.85536432080153,270.189823167741,66.9753637236865,1.69094639162755e-05,88577.2856151906,157.879206704452,241.699523898411,2.74612089358103,275.450245016466,264.510788689173
"37",1986,-16.4081594826747,18.0296762560343,0.485418686795346,271.280615617555,66.1064173300705,1.55106526733307e-05,88679.560503083,159.134096640001,244.875549357461,2.72612860694594,276.785137008872,265.396552745323
"38",1987,8.2392536501324,0.625577986982431,-7.80304507639817,270.411658453834,67.1083348261401,1.78286856921271e-05,88569.3391816144,156.829024632202,243.051244227662,2.84717702983206,275.636833129335,264.672306981108
"39",1988,-16.495636245324,4.585430656134,10.2804089061597,271.223546870621,67.5904064948249,1.76998060786219e-05,88640.3928741592,156.873105316846,245.859468810761,2.80813245816081,276.522127187412,265.6613061195
"40",1989,9.50833656069738,-3.06516871823957,-17.1181563476159,271.898992947292,66.3661367613104,1.61021656424764e-05,88620.5811799327,157.682685961531,246.474652181719,2.81459499688426,277.309531036514,266.195707038914
"41",1990,-28.7104649410656,-13.746014554476,8.57668561897052,272.1262479363,66.6354983787366,1.82702510201247e-05,88568.5099775785,156.958500165041,248.216854269943,2.80585463645747,277.481610545342,266.480814406049
"42",1991,-0.557105140729364,-3.13725370755883,18.2459664768051,271.320215528001,66.7994329854512,1.6751099632215e-05,88651.1147071188,158.165106919635,245.595895262577,2.7538954823541,276.645788601589,265.669755738947
"43",1992,45.3034815297491,8.58756145978006,-4.30935559643627,271.593091668783,67.5992904355173,1.65313811925395e-05,88641.6046454596,154.87797088623,246.390391451575,2.71696160983612,276.874928016834,265.992611680651
"44",1993,11.7533950414699,10.8277261846251,11.7219889120243,271.285251990348,67.7545316756039,1.73325235068925e-05,88653.9477858744,155.448386776501,244.751401454772,2.80492325310215,276.489410482501,265.731535743063
"45",1994,-17.2244375270444,4.91451211097697,2.06013086008777,271.670773767035,67.7610397612567,1.81233762482468e-05,88600.6892096412,156.11477901989,247.067116187399,2.75530897608787,276.911228799178,266.054110320908
"46",1995,8.88976211179795,-26.2626333640086,5.4713586296826,272.27304662867,65.5375406034324,1.61486010806931e-05,88624.1764153587,159.099520962976,246.336878590947,2.84628705582811,277.67761463114,266.441045759398
"47",1996,42.7123929234739,0.644451948432724,-7.65816375401494,270.545857054022,64.5566892170585,1.62851722560204e-05,88652.5033982623,158.822064749542,240.258956047024,2.83123974639739,275.978051538852,264.673728060188
"48",1997,-26.5792988065253,-30.2545533131742,9.11371759239472,272.28244314151,64.147175820526,1.5719511348822e-05,88655.4071818946,159.526264303575,245.746740955301,2.8414914383482,277.787561089896,266.355608829789
"49",1998,-6.00136617808496,9.20729136092374,-20.2710611364272,271.910929398473,66.5067899900702,1.7671399407666e-05,88599.7463004484,155.337118660281,248.14657072743,2.83169425731283,277.161212130833,266.276644746926
"50",1999,6.25101268031996,4.62699878961798,-12.208546976628,271.563063521449,65.4066411176605,1.52070256534176e-05,88636.7552830717,161.194465951962,244.011387189514,2.77141855596961,276.931230485172,265.762225916567
"51",2000,-28.545890517312,9.96464996077069,-5.20074352692032,271.082275281145,65.7315144423412,1.61317685983235e-05,88597.116290639,158.618582522816,244.255838040065,2.77791101291041,276.43101084072,265.280433415297
"52",2001,-12.795827170368,11.3166818915333,-15.3529836473014,271.675189400575,65.5842534326117,1.56445646058526e-05,88609.3523963005,160.071231236479,245.951353735133,2.83446084736709,276.970918527098,265.898403780129
"53",2002,-4.40257677169431,16.4683627503436,-0.0478864509779218,272.52485907174,65.7777198552016,1.58050176514531e-05,88621.9950462444,160.141833824534,248.830683180463,2.78541925445266,277.885735646064,266.710809681982
"54",2003,21.5741421636319,8.65629696952493,1.2878860219953,271.614153012673,66.5917879113167,1.57978295520467e-05,88666.6836042601,159.546254364151,245.777677116907,2.74208848198433,276.832090287144,265.913048686896
"55",2004,1.6633869066399,6.53348855519226,-10.6637296613024,272.11013460031,65.2442834144216,1.60281511757256e-05,88628.6827424327,159.060994108055,247.283931208726,2.84153289581094,277.376951291208,266.394280458459
"56",2005,-10.6449063316349,6.91750284082603,-11.9357983064409,271.568389673618,65.503777104536,1.54097650490172e-05,88691.3413957399,160.117411386806,245.477172016777,2.7049000881178,277.002850232317,265.820027003267
"57",2006,34.3455045118733,-9.00984175306006,-14.3419674056234,271.511857351808,64.4491608726604,1.62315183932746e-05,88597.8801779709,159.590028655048,245.144860620884,2.82234741454702,276.904217118746,265.636384671472
"58",2007,-55.7293728365446,6.57362823322276,-8.04019269798801,273.243941234366,64.6054703374615,1.53233627334138e-05,88635.3744394619,160.194906007228,251.596877381192,2.77181529667345,278.730142116119,267.419073376848
"59",2008,5.24013491369695,-0.889832639693496,-7.39135118438189,272.374295906101,64.2177203704424,1.65458540011014e-05,88615.0065933296,159.542584180618,247.565741801583,2.82010923982201,277.807614833678,266.551608098462
"60",2009,-14.6458344891911,-4.34797405677149,7.16036954484853,271.1072803446,64.4827912745454,1.67751778375667e-05,88586.3805983744,159.241740520118,243.994757832754,2.78939691071019,276.486733557184,265.323686266159
"61",2010,32.7825001958455,6.83457558170228,7.45334076856392,270.535063246654,64.0639399917671,1.55862152434215e-05,88630.7279428251,160.651205273273,242.403736911654,2.84424956058707,275.856984584107,264.699260461918
"62",2011,-12.162037822806,-7.53629823122059,14.9080584810639,271.660721961051,64.1443263408849,1.40621989334812e-05,88738.8451373318,162.030786201238,244.695488612427,2.70007376360786,277.230708401941,265.799531452538
"63",2012,10.5857288629242,-22.5293065184549,1.86488765106626,270.591725357124,64.9462410554758,1.60005887785052e-05,88608.6902536435,158.486990623303,243.420913354164,2.72380765970512,275.973146063971,264.812709298583
"64",2013,21.3811041655044,-6.10669716926939,-1.30064393917232,271.884088408466,65.7476232725409,1.68139869455824e-05,88558.1418161435,157.551513021837,247.510279743554,2.82079525934741,277.127578201636,266.22017162648
"65",2014,-14.880933100454,15.6565332737547,-4.99497142074006,271.983449920517,62.8987319723908,1.46343882158766e-05,88672.1663747197,161.665732666837,245.081425469232,2.75588852514601,277.595574075331,266.061105250885
"66",2015,-7.70125022723716,9.25494497731113,16.9398178234422,272.786767851825,63.3620687852526,1.52312108443542e-05,88670.0998388453,161.75735982031,249.268443619938,2.8251634127356,278.277957796516,266.963477137271
"67",2016,-11.9586832156379,-9.74475240327394,-5.58670895113451,271.736227567527,65.1665617801683,1.57233034519063e-05,88730.1288536996,158.118384856493,247.736686822866,2.75289977088637,277.027422055642,266.093075438358
"68",2017,-1.64794591773776,-9.92050599837214,-5.11935183464408,272.649064300948,62.6223976682654,1.46337226318498e-05,88749.3180142937,161.872423036858,248.101992619946,2.79916707656843,278.128802544974,266.845942749571
"69",2018,-15.9145524131272,20.859623301372,-0.127914432571679,271.726092173487,62.918391194365,1.6601120488699e-05,88684.7183716368,157.994176602898,246.129273692589,2.84832613874444,277.215741459457,265.997790527344
"70",2019,-0.738084044701856,-12.4697348720189,-3.95062626756976,272.425034486232,61.365161450989,1.4647595968391e-05,88687.2204176009,160.912104113113,247.499498252698,2.79863958102171,278.032058401065,266.543135077643
"71",2020,-7.1940522155939,-0.771596979437775,22.2082347648617,272.969092015835,63.7290032322631,1.67228305707644e-05,88728.6924397422,157.525882669628,251.206318698763,2.82093248110716,278.33917063897,267.36246759389
"72",2021,27.6064047705034,-0.219727864624463,5.1943001583774,272.265442305082,63.2133421825187,1.71805406987286e-05,88654.9321538677,157.916150326579,248.158863358433,2.8772506644373,277.62192935687,266.587132010011
